Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
Kenya,Foreign Exchange Reserves,2011-08-31T00:00:00,5644.67,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2011-09-30T00:00:00,5557.17,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2011-10-31T00:00:00,5915.3,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2011-11-30T00:00:00,5482.66,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2011-12-30T00:00:00,6044.72,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2011-12-31T00:00:00,6044.72,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,2012-01-31T00:00:00,6019.34,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2012-02-29T00:00:00,6215.47,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2012-03-30T00:00:00,6165,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2012-03-31T00:00:00,6165,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,2012-04-30T00:00:00,6289,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2012-05-31T00:00:00,6282,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2012-06-29T00:00:00,7030,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2012-06-30T00:00:00,7030,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,2012-07-31T00:00:00,6995,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2012-08-31T00:00:00,6967,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2012-09-30T00:00:00,7213.96,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2012-10-31T00:00:00,7249.8,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2012-11-30T00:00:00,7634.33,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2012-12-31T00:00:00,7160.07,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2013-01-31T00:00:00,7155.81,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2013-02-28T00:00:00,7079.54,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2013-03-29T00:00:00,7113.72,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2013-03-31T00:00:00,7113.72,Monthly,KENYAFOREXCRES,2017-10-13T12:21:00
Kenya,Foreign Exchange Reserves,2013-04-30T00:00:00,7563.46,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2013-05-31T00:00:00,7886.58,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2013-06-30T00:00:00,7888.94,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2013-07-31T00:00:00,7906.76,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2013-08-30T00:00:00,7739.68,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2013-08-31T00:00:00,7739.68,Monthly,KENYAFOREXCRES,2017-10-13T12:21:00
Kenya,Foreign Exchange Reserves,2013-09-30T00:00:00,7958.83,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2013-10-31T00:00:00,7859.49,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2013-11-29T00:00:00,7893,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2013-11-30T00:00:00,7893,Monthly,KENYAFOREXCRES,2017-10-13T12:21:00
Kenya,Foreign Exchange Reserves,2013-12-31T00:00:00,8483.2,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2014-01-31T00:00:00,8158.6,Monthly,KENYAFOREXCRES,2017-10-13T12:21:00
Kenya,Foreign Exchange Reserves,2014-02-28T00:00:00,8250.21,Monthly,KENYAFOREXCRES,2015-01-07T14:30:00
Kenya,Foreign Exchange Reserves,2014-03-31T00:00:00,8285.29,Monthly,KENYAFOREXCRES,2015-01-07T14:30:00
Kenya,Foreign Exchange Reserves,2014-04-30T00:00:00,8593.52,Monthly,KENYAFOREXCRES,2015-01-07T14:30:00
Kenya,Foreign Exchange Reserves,2014-05-31T00:00:00,8230.25,Monthly,KENYAFOREXCRES,2015-01-07T14:28:00
Kenya,Foreign Exchange Reserves,2014-06-30T00:00:00,10398.72,Monthly,KENYAFOREXCRES,2015-01-07T14:28:00
Kenya,Foreign Exchange Reserves,2014-07-31T00:00:00,10029.34,Monthly,KENYAFOREXCRES,2015-01-07T14:28:00
Kenya,Foreign Exchange Reserves,2014-08-31T00:00:00,9731.5,Monthly,KENYAFOREXCRES,2015-01-07T14:28:00
Kenya,Foreign Exchange Reserves,2014-09-30T00:00:00,9335.92,Monthly,KENYAFOREXCRES,2015-01-07T14:29:00
Kenya,Foreign Exchange Reserves,2014-10-31T00:00:00,9399.9,Monthly,KENYAFOREXCRES,2015-02-09T17:34:00
Kenya,Foreign Exchange Reserves,2014-11-30T00:00:00,8964.49,Monthly,KENYAFOREXCRES,2015-11-02T12:47:00
Kenya,Foreign Exchange Reserves,2014-12-31T00:00:00,9737.55,Monthly,KENYAFOREXCRES,2015-03-13T18:59:00
Kenya,Foreign Exchange Reserves,2015-01-31T00:00:00,9619.8,Monthly,KENYAFOREXCRES,2017-10-13T12:21:00
Kenya,Foreign Exchange Reserves,2015-02-28T00:00:00,9873.3,Monthly,KENYAFOREXCRES,2017-10-13T12:21:00
Kenya,Foreign Exchange Reserves,2015-03-31T00:00:00,9834.3,Monthly,KENYAFOREXCRES,2017-10-13T12:21:00
Kenya,Foreign Exchange Reserves,2015-04-30T00:00:00,9805.5,Monthly,KENYAFOREXCRES,2017-10-13T12:21:00
Kenya,Foreign Exchange Reserves,2015-05-31T00:00:00,9798.7,Monthly,KENYAFOREXCRES,2017-10-13T12:21:00
Kenya,Foreign Exchange Reserves,2015-06-30T00:00:00,9473.1,Monthly,KENYAFOREXCRES,2017-10-13T12:21:00
Kenya,Foreign Exchange Reserves,2015-07-31T00:00:00,9248.8,Monthly,KENYAFOREXCRES,2017-10-13T12:21:00
Kenya,Foreign Exchange Reserves,2015-08-31T00:00:00,9265.4,Monthly,KENYAFOREXCRES,2017-10-13T12:21:00
Kenya,Foreign Exchange Reserves,2015-09-30T00:00:00,8899.4,Monthly,KENYAFOREXCRES,2017-10-13T12:21:00
Kenya,Foreign Exchange Reserves,2015-10-31T00:00:00,9324.3,Monthly,KENYAFOREXCRES,2017-10-13T12:21:00
Kenya,Foreign Exchange Reserves,2015-11-30T00:00:00,9411,Monthly,KENYAFOREXCRES,2017-10-13T12:21:00
Kenya,Foreign Exchange Reserves,2015-12-31T00:00:00,9793.6,Monthly,KENYAFOREXCRES,2017-10-13T12:21:00
Kenya,Foreign Exchange Reserves,2016-01-31T00:00:00,9628.9,Monthly,KENYAFOREXCRES,2017-10-13T12:21:00
Kenya,Foreign Exchange Reserves,2016-02-29T00:00:00,9501.2,Monthly,KENYAFOREXCRES,2017-10-13T12:21:00
Kenya,Foreign Exchange Reserves,2016-03-31T00:00:00,9809.1,Monthly,KENYAFOREXCRES,2017-10-13T12:21:00
Kenya,Foreign Exchange Reserves,2016-04-30T00:00:00,10062.9,Monthly,KENYAFOREXCRES,2017-10-13T12:21:00
Kenya,Foreign Exchange Reserves,2016-05-31T00:00:00,10101.8,Monthly,KENYAFOREXCRES,2017-10-13T12:21:00
Kenya,Foreign Exchange Reserves,2016-06-30T00:00:00,10498.8,Monthly,KENYAFOREXCRES,2017-10-13T12:21:00
Kenya,Foreign Exchange Reserves,2016-07-31T00:00:00,10381.2,Monthly,KENYAFOREXCRES,2016-12-19T16:19:00
Kenya,Foreign Exchange Reserves,2016-08-31T00:00:00,10354.5,Monthly,KENYAFOREXCRES,2016-12-19T16:21:00
Kenya,Foreign Exchange Reserves,2016-09-30T00:00:00,10602.2,Monthly,KENYAFOREXCRES,2016-12-19T16:22:00
Kenya,Foreign Exchange Reserves,2016-10-31T00:00:00,10441.5,Monthly,KENYAFOREXCRES,2016-12-19T16:22:00
Kenya,Foreign Exchange Reserves,2016-11-30T00:00:00,10326.7,Monthly,KENYAFOREXCRES,2017-03-25T10:17:00
Kenya,Foreign Exchange Reserves,2016-12-31T00:00:00,9587.5,Monthly,KENYAFOREXCRES,2017-05-20T10:14:00
Kenya,Foreign Exchange Reserves,2017-01-31T00:00:00,9724.1,Monthly,KENYAFOREXCRES,2017-05-20T10:14:00
Kenya,Foreign Exchange Reserves,2017-02-28T00:00:00,9929.4,Monthly,KENYAFOREXCRES,2017-05-20T10:14:00
Kenya,Foreign Exchange Reserves,2017-03-31T00:00:00,10785.8,Monthly,KENYAFOREXCRES,2017-07-01T10:17:00
Kenya,Foreign Exchange Reserves,2017-04-30T00:00:00,11233,Monthly,KENYAFOREXCRES,2017-10-13T12:12:00
Kenya,Foreign Exchange Reserves,2017-05-31T00:00:00,10934.4,Monthly,KENYAFOREXCRES,2017-10-07T10:14:00
Kenya,Foreign Exchange Reserves,2017-06-30T00:00:00,10984.3,Monthly,KENYAFOREXCRES,2017-10-14T10:17:00
Kenya,Foreign Exchange Reserves,2017-07-31T00:00:00,10550.3,Monthly,KENYAFOREXCRES,2017-12-27T17:00:00
Kenya,Foreign Exchange Reserves,2017-08-31T00:00:00,10378.2,Monthly,KENYAFOREXCRES,2017-12-27T17:00:00
Kenya,Foreign Exchange Reserves,2017-09-30T00:00:00,10332.4,Monthly,KENYAFOREXCRES,2018-01-06T10:15:00
Kenya,Foreign Exchange Reserves,2017-10-31T00:00:00,9930.5,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,2017-11-30T00:00:00,9749.4,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,2017-12-31T00:00:00,9652,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,2018-01-31T00:00:00,9678.2,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,2018-02-28T00:00:00,9755.3,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
